epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,7303.23,0.49982,0.44902,1.06588,0.91841,0.97633,0.99104,0.90869,0.36476,0.27365,0.85687,0.0039412,0.0039412,0.0039412
155,7350.55,0.50798,0.45599,1.06151,0.92718,0.95191,0.98796,0.907,0.35978,0.27451,0.85254,0.0039016,0.0039016,0.0039016
156,7398.04,0.50314,0.45952,1.06159,0.93343,0.96261,0.99134,0.90509,0.35983,0.2738,0.8538,0.003862,0.003862,0.003862
157,7445.44,0.4964,0.4416,1.06647,0.92545,0.98145,0.9912,0.91163,0.35783,0.27236,0.8522,0.0038224,0.0038224,0.0038224
158,7492.81,0.48877,0.43819,1.04621,0.91511,0.95599,0.98539,0.91917,0.35452,0.27042,0.84966,0.0037828,0.0037828,0.0037828
159,7540.19,0.49282,0.44497,1.06103,0.91589,0.9568,0.99111,0.91843,0.35346,0.26878,0.84887,0.0037432,0.0037432,0.0037432
160,7587.71,0.49087,0.42984,1.05645,0.91151,0.96683,0.99111,0.91538,0.35058,0.26477,0.84733,0.0037036,0.0037036,0.0037036
161,7635.05,0.48188,0.43244,1.05152,0.92316,0.96129,0.98569,0.92289,0.3472,0.26191,0.84435,0.003664,0.003664,0.003664
162,7682.34,0.48964,0.43714,1.05549,0.93768,0.95588,0.98598,0.92272,0.34593,0.26142,0.84446,0.0036244,0.0036244,0.0036244
163,7729.59,0.48993,0.43545,1.05691,0.93954,0.9509,0.98814,0.92314,0.34426,0.26031,0.84386,0.0035848,0.0035848,0.0035848
164,7776.99,0.49224,0.43461,1.05863,0.93157,0.97543,0.99155,0.92308,0.34322,0.25953,0.84164,0.0035452,0.0035452,0.0035452
165,7824.58,0.48131,0.42729,1.05607,0.93802,0.97573,0.99188,0.92182,0.34356,0.25916,0.84274,0.0035056,0.0035056,0.0035056
166,7871.87,0.48471,0.42521,1.05766,0.93163,0.97277,0.9922,0.92163,0.34534,0.25873,0.84345,0.003466,0.003466,0.003466
167,7919.2,0.48562,0.42559,1.05321,0.93206,0.97467,0.99216,0.91439,0.3451,0.25868,0.84285,0.0034264,0.0034264,0.0034264
168,7966.49,0.47408,0.42256,1.04627,0.95941,0.95202,0.99221,0.91741,0.34335,0.26077,0.83971,0.0033868,0.0033868,0.0033868
169,8013.96,0.48233,0.42796,1.0535,0.94586,0.96043,0.99201,0.91727,0.341,0.25924,0.83828,0.0033472,0.0033472,0.0033472
170,8061.36,0.48072,0.42406,1.05239,0.96744,0.9688,0.99196,0.91814,0.33598,0.25961,0.83453,0.0033076,0.0033076,0.0033076
171,8108.69,0.48452,0.42118,1.05365,0.9675,0.97075,0.99202,0.91816,0.3371,0.26201,0.83441,0.003268,0.003268,0.003268
172,8155.99,0.46789,0.41746,1.03978,0.96108,0.97505,0.99199,0.91861,0.33534,0.25925,0.83312,0.0032284,0.0032284,0.0032284
173,8203.51,0.46962,0.41302,1.0402,0.95218,0.96655,0.99214,0.91945,0.33429,0.25782,0.83201,0.0031888,0.0031888,0.0031888
174,8250.89,0.47339,0.41293,1.04457,0.9402,0.97141,0.99211,0.92408,0.33339,0.25697,0.83098,0.0031492,0.0031492,0.0031492
175,8298.29,0.46831,0.4157,1.04508,0.93508,0.97492,0.99223,0.92124,0.33087,0.25573,0.82898,0.0031096,0.0031096,0.0031096
176,8345.64,0.46934,0.41556,1.04557,0.95073,0.97247,0.99214,0.92684,0.33051,0.2541,0.82929,0.00307,0.00307,0.00307
177,8393,0.46715,0.41179,1.04301,0.95977,0.97639,0.99222,0.9284,0.32836,0.25156,0.82741,0.0030304,0.0030304,0.0030304
178,8440.53,0.46499,0.4136,1.03801,0.96396,0.9741,0.9924,0.92932,0.3272,0.25104,0.82548,0.0029908,0.0029908,0.0029908
179,8487.9,0.46034,0.40952,1.0403,0.9665,0.97387,0.99241,0.93172,0.32732,0.25005,0.82588,0.0029512,0.0029512,0.0029512
180,8535.32,0.47078,0.40297,1.04764,0.96823,0.97708,0.9925,0.93576,0.32784,0.24941,0.8267,0.0029116,0.0029116,0.0029116
181,8582.76,0.4598,0.40892,1.03795,0.96293,0.97737,0.99229,0.93521,0.32648,0.25093,0.82625,0.002872,0.002872,0.002872
182,8630.25,0.45797,0.40009,1.04025,0.96256,0.97781,0.99232,0.93519,0.32406,0.24903,0.82409,0.0028324,0.0028324,0.0028324
